id,name,bpm,nps
446,AllMapsGroupedV1,130.0,58.0
499,AllMapsGroupedV1,144.0,58.0
544,AllMapsGroupedV1,150.0,58.0
604,AllMapsGroupedV1,169.0,58.0
779,AllMapsGroupedV1,200.0,58.0
936,AllMapsGroupedV1,300.0,58.0
865,AllMapsGroupedV1,240.0,59.0
900,AllMapsGroupedV1,270.0,59.0
1005,AllMapsGroupedV1,600.0,59.0
468,AllMapsGroupedV1,139.0,60.0
866,AllMapsGroupedV1,240.0,60.0
557,AllMapsGroupedV1,159.0,61.0
883,AllMapsGroupedV1,252.0,61.0
804,AllMapsGroupedV1,210.0,62.0
389,AllMapsGroupedV1,120.0,63.0
545,AllMapsGroupedV1,150.0,64.0
676,AllMapsGroupedV1,180.0,64.0
805,AllMapsGroupedV1,210.0,64.0
867,AllMapsGroupedV1,240.0,64.0
937,AllMapsGroupedV1,300.0,64.0
390,AllMapsGroupedV1,120.0,65.0
289,AllMapsGroupedV1,100.0,66.0
398,AllMapsGroupedV1,124.0,66.0
981,AllMapsGroupedV1,388.0,66.0
207,AllMapsGroupedV1,69.0,67.0
290,AllMapsGroupedV1,100.0,67.0
877,AllMapsGroupedV1,250.0,67.0
573,AllMapsGroupedV1,160.0,68.0
993,AllMapsGroupedV1,420.0,68.0
780,AllMapsGroupedV1,200.0,69.0
291,AllMapsGroupedV1,100.0,70.0
292,AllMapsGroupedV1,100.0,71.0
781,AllMapsGroupedV1,200.0,71.0
868,AllMapsGroupedV1,240.0,72.0
391,AllMapsGroupedV1,120.0,73.0
463,AllMapsGroupedV1,137.0,73.0
548,AllMapsGroupedV1,153.0,73.0
197,AllMapsGroupedV1,12.0,77.0
293,AllMapsGroupedV1,100.0,77.0
294,AllMapsGroupedV1,100.0,80.0
412,AllMapsGroupedV1,125.0,80.0
510,AllMapsGroupedV1,146.0,80.0
653,AllMapsGroupedV1,176.0,81.0
830,AllMapsGroupedV1,220.0,81.0
497,AllMapsGroupedV1,143.0,84.0
605,AllMapsGroupedV1,169.0,84.0
447,AllMapsGroupedV1,130.0,87.0
938,AllMapsGroupedV1,300.0,88.0
806,AllMapsGroupedV1,210.0,89.0
1008,AllMapsGroupedV1,800.0,89.0
982,AllMapsGroupedV1,388.0,92.0
1003,AllMapsGroupedV1,550.0,93.0
869,AllMapsGroupedV1,240.0,96.0
870,AllMapsGroupedV1,240.0,98.0
906,AllMapsGroupedV1,280.0,100.0
996,AllMapsGroupedV1,500.0,100.0
532,AllMapsGroupedV1,150.0,101.0
